date,sh.600010,sh.600011,sh.600012,sh.600020,sh.600030
2020/4/15,1.13,4.23,5.17,3.78,23.02
2020/4/16,1.13,4.3,5.16,3.78,23.67
2020/4/17,1.14,4.25,5.16,3.79,23.38
2020/4/20,1.14,4.22,5.21,3.86,23.49
2020/4/21,1.12,4.2,5.14,3.81,23.17
2020/4/22,1.13,4.2,5.16,3.8,23.19
2020/4/23,1.12,4.22,5.15,3.82,22.92
2020/4/24,1.11,4.18,5.13,3.81,22.7
2020/4/27,1.1,4.2,5.21,3.89,22.83
2020/4/28,1.07,4.13,5.33,3.92,23.29
2020/4/29,1.05,4.14,5.39,4.04,23.39
2020/4/30,1.08,4.22,5.36,3.92,23.7
2020/5/6,1.1,4.22,5.31,3.86,23.62
2020/5/7,1.13,4.34,5.28,3.8,23.41
2020/5/8,1.12,4.31,5.33,3.82,23.82
2020/5/11,1.11,4.32,5.27,3.77,23.57
2020/5/12,1.12,4.29,5.24,3.77,23.63
2020/5/13,1.11,4.4,5.27,3.78,23.74
2020/5/14,1.1,4.34,5.21,3.73,23.44
2020/5/15,1.1,4.36,5.18,3.74,23.44
2020/5/18,1.12,4.33,5.16,3.74,23.08
2020/5/19,1.1,4.34,5.19,3.76,23.21
2020/5/20,1.08,4.36,5.19,3.75,23.09
2020/5/21,1.08,4.27,5.19,3.74,23.02
2020/5/22,1.07,4.19,5.13,3.67,22.3
2020/5/25,1.06,4.3,5.13,3.63,22.21
2020/5/26,1.07,4.4,5.15,3.64,22.47
2020/5/27,1.11,4.43,5.14,3.63,22.29
2020/5/28,1.1,4.39,5.15,3.62,22.48
2020/5/29,1.1,4.33,5.21,3.6,22.27
2020/6/1,1.1,4.38,5.23,3.66,23.14
2020/6/2,1.1,4.4,5.27,3.67,23.02
2020/6/3,1.09,4.36,5.21,3.65,22.9
2020/6/4,1.09,4.27,5.18,3.65,22.76
2020/6/5,1.08,4.3,5.26,3.66,22.84
2020/6/8,1.09,4.33,5.23,3.66,22.97
2020/6/9,1.09,4.35,5.23,3.66,23.29
2020/6/10,1.08,4.26,5.2,3.64,23.06
2020/6/11,1.09,4.22,5.2,3.61,22.79
2020/6/12,1.08,4.21,5.16,3.62,22.61
2020/6/15,1.07,4.14,5.17,3.6,22.59
2020/6/16,1.1,4.16,5.21,3.61,22.86
2020/6/17,1.11,4.15,5.2,3.58,22.77
2020/6/18,1.15,4.24,5.2,3.58,23.08
2020/6/19,1.11,4.27,5.24,3.65,23.85
2020/6/22,1.09,4.24,5.21,3.61,24.11
2020/6/23,1.09,4.21,5.21,3.57,24.04
2020/6/24,1.08,4.21,5.22,3.58,24.25
2020/6/29,1.07,4.19,5.18,3.54,23.5
2020/6/30,1.08,4.22,5.19,3.54,24.11
2020/7/1,1.08,4.25,5.24,3.57,24.72
2020/7/2,1.11,4.38,5.3,3.64,26.06
2020/7/3,1.12,4.47,5.36,3.7,28.67
2020/7/6,1.19,4.64,5.57,3.86,31.54
2020/7/7,1.18,4.69,5.58,3.81,31.13
2020/7/8,1.24,4.75,5.63,3.87,33.5
2020/7/9,1.27,4.78,5.65,3.92,33.08
2020/7/10,1.22,4.69,5.55,3.81,31.77
2020/7/13,1.24,4.74,5.68,3.87,32.48
2020/7/14,1.22,4.71,5.67,3.82,32.03
2020/7/15,1.19,4.68,5.59,3.82,32
2020/7/16,1.16,4.57,5.48,3.72,29.32
2020/7/17,1.14,4.63,5.47,3.67,28.62
2020/7/20,1.2,4.98,5.63,3.77,30.65
2020/7/21,1.18,4.86,5.7,3.76,30.33
2020/7/22,1.19,4.79,5.34,3.88,30.5
2020/7/23,1.2,4.77,5.28,3.79,30.54
2020/7/24,1.16,4.66,5.17,3.68,28.5
2020/7/27,1.16,4.75,5.14,3.68,28.5
2020/7/28,1.17,4.73,5.16,3.7,28.4
2020/7/29,1.18,4.71,5.23,3.73,29.77
2020/7/30,1.17,4.71,5.25,3.69,29.56
2020/7/31,1.17,4.69,5.24,3.72,29.96
2020/8/3,1.18,4.72,5.35,3.78,30.41
2020/8/4,1.18,4.69,5.35,3.78,30.22
2020/8/5,1.2,4.65,5.31,3.75,29.91
2020/8/6,1.2,4.6,5.3,3.75,32.08
2020/8/7,1.19,4.57,5.28,3.7,31.96
2020/8/10,1.18,4.63,5.35,3.73,33.21
2020/8/11,1.17,4.58,5.34,3.69,31.31
2020/8/12,1.16,4.74,5.45,3.7,31.09
2020/8/13,1.19,4.81,5.42,3.73,30.89
2020/8/14,1.19,4.83,5.39,3.74,31.37
2020/8/17,1.2,5.01,5.43,3.79,32.97
2020/8/18,1.2,5.08,5.47,3.76,33.14
2020/8/19,1.19,5.59,5.49,3.74,32.69
2020/8/20,1.18,5.9,5.39,3.72,31.98
2020/8/21,1.18,6.2,5.41,3.74,31.92
2020/8/24,1.17,5.99,5.39,3.71,31.8
2020/8/25,1.16,5.6,5.35,3.69,31.68
2020/8/26,1.16,5.65,5.34,3.66,30.73
2020/8/27,1.16,5.43,5.33,3.67,30.97
2020/8/28,1.18,5.57,5.44,3.7,31.99
2020/8/31,1.16,5.51,5.39,3.65,31.8
2020/9/1,1.16,5.85,5.38,3.64,32.11
2020/9/2,1.16,5.78,5.42,3.63,31.9
2020/9/3,1.16,5.7,5.4,3.6,31.52
2020/9/4,1.15,5.54,5.4,3.58,31.04
2020/9/7,1.16,5.45,5.34,3.57,29.91
2020/9/8,1.19,5.66,5.39,3.62,30.65
2020/9/9,1.3,5.69,5.38,3.63,30.09
2020/9/10,1.2,5.88,5.3,3.56,30
2020/9/11,1.18,5.83,5.24,3.58,30.09
2020/9/14,1.19,5.85,5.3,3.57,30.05
2020/9/15,1.18,5.73,5.29,3.56,30.22
2020/9/16,1.18,5.72,5.27,3.56,30.23
2020/9/17,1.17,5.59,5.29,3.56,29.61
