"Stkcd","Stknme","Conme","Listdt"
"002951","金时科技","四川金时科技股份有限公司","2019-03-15"
"002952","亚世光电","亚世光电(集团)股份有限公司","2019-03-28"
"002953","日丰股份","广东日丰电缆股份有限公司","2019-05-09"
"002955","鸿合科技","鸿合科技股份有限公司","2019-05-23"
"002956","西麦食品","桂林西麦食品股份有限公司","2019-06-19"
"002957","科瑞技术","深圳科瑞技术股份有限公司","2019-07-26"
"002958","青农商行","青岛农村商业银行股份有限公司","2019-03-26"
"002959","小熊电器","小熊电器股份有限公司","2019-08-23"
"002960","青鸟消防","青鸟消防股份有限公司","2019-08-09"
"002961","瑞达期货","瑞达期货股份有限公司","2019-09-05"
"002962","五方光电","湖北五方光电股份有限公司","2019-09-17"
"002963","豪尔赛","豪尔赛科技集团股份有限公司","2019-10-28"
"002965","祥鑫科技","祥鑫科技股份有限公司","2019-10-25"
"002966","苏州银行","苏州银行股份有限公司","2019-08-02"
"002967","广电计量","广州广电计量检测股份有限公司","2019-11-08"
"002968","新大正","新大正物业集团股份有限公司","2019-12-03"
"002969","嘉美包装","嘉美食品包装(滁州)股份有限公司","2019-12-02"
"002970","锐明技术","深圳市锐明技术股份有限公司","2019-12-17"
"002971","和远气体","湖北和远气体股份有限公司","2020-01-13"
"002972","科安达","深圳科安达电子科技股份有限公司","2019-12-27"
"002973","侨银股份","侨银城市管理股份有限公司","2020-01-06"
"002975","博杰股份","珠海博杰电子股份有限公司","2020-02-05"
"002976","瑞玛精密","苏州瑞玛精密工业股份有限公司","2020-03-06"
"002977","天箭科技","成都天箭科技股份有限公司","2020-03-17"
"002978","安宁股份","四川安宁铁钛股份有限公司","2020-04-17"
"002979","雷赛智能","深圳市雷赛智能控制股份有限公司","2020-04-08"
"002980","华盛昌","深圳市华盛昌科技实业股份有限公司","2020-04-15"
"002981","朝阳科技","广东朝阳电子科技股份有限公司","2020-04-17"
"002982","湘佳股份","湖南湘佳牧业股份有限公司","2020-04-24"
"002983","芯瑞达","安徽芯瑞达科技股份有限公司","2020-04-28"
"002984","森麒麟","青岛森麒麟轮胎股份有限公司","2020-09-11"
"002985","北摩高科","北京北摩高科摩擦材料股份有限公司","2020-04-29"
"002986","宇新股份","湖南宇新能源科技股份有限公司","2020-06-02"
"002987","京北方","京北方信息技术股份有限公司","2020-05-07"
"002988","豪美新材","广东豪美新材股份有限公司","2020-05-18"
"002989","中天精装","深圳中天精装股份有限公司","2020-06-10"
"002990","盛视科技","盛视科技股份有限公司","2020-05-25"
"002991","甘源食品","甘源食品股份有限公司","2020-07-31"
"002992","宝明科技","深圳市宝明科技股份有限公司","2020-08-03"
"002993","奥海科技","东莞市奥海科技股份有限公司","2020-08-17"
"002995","天地在线","北京全时天地在线网络信息股份有限公司","2020-08-05"
"002996","顺博合金","重庆顺博铝合金股份有限公司","2020-08-28"
"002997","瑞鹄模具","瑞鹄汽车模具股份有限公司","2020-09-03"
"002998","优彩资源","优彩环保资源科技股份有限公司","2020-09-25"
"002999","天禾股份","广东天禾农资股份有限公司","2020-09-03"
"003000","劲仔食品","劲仔食品集团股份有限公司","2020-09-14"
"003001","中岩大地","北京中岩大地科技股份有限公司","2020-10-13"
"003002","壶化股份","山西壶化集团股份有限公司","2020-09-22"
"003003","天元股份","广东天元实业集团股份有限公司","2020-09-21"
"003004","声迅股份","北京声迅电子股份有限公司","2020-11-26"
"003005","竞业达","北京竞业达数码科技股份有限公司","2020-09-22"
"003006","百亚股份","重庆百亚卫生用品股份有限公司","2020-09-21"
"003007","直真科技","北京直真科技股份有限公司","2020-09-23"
"003008","开普检测","许昌开普检测研究院股份有限公司","2020-09-23"
"003009","中天火箭","陕西中天火箭技术股份有限公司","2020-09-25"
"003010","若羽臣","广州若羽臣科技股份有限公司","2020-09-25"
"003011","海象新材","浙江海象新材料股份有限公司","2020-09-30"
"003012","东鹏控股","广东东鹏控股股份有限公司","2020-10-19"
"003013","地铁设计","广州地铁设计研究院股份有限公司","2020-10-22"
"003015","日久光电","江苏日久光电股份有限公司","2020-10-21"
"003016","欣贺股份","欣贺股份有限公司","2020-10-26"
"003017","大洋生物","浙江大洋生物科技集团股份有限公司","2020-10-26"
"003018","金富科技","金富科技股份有限公司","2020-11-06"
"003019","宸展光电","宸展光电(厦门)股份有限公司","2020-11-17"
"003020","立方制药","合肥立方制药股份有限公司","2020-12-15"
"003021","兆威机电","深圳市兆威机电股份有限公司","2020-12-04"
"003022","联泓新科","联泓新材料科技股份有限公司","2020-12-08"
"003023","彩虹集团","成都彩虹电器(集团)股份有限公司","2020-12-11"
"003025","思进智能","思进智能成形装备股份有限公司","2020-12-11"
"003026","中晶科技","浙江中晶科技股份有限公司","2020-12-18"
"003027","同兴环保","同兴环保科技股份有限公司","2020-12-18"
"003028","振邦智能","深圳市振邦智能科技股份有限公司","2020-12-28"
"003029","吉大正元","长春吉大正元信息技术股份有限公司","2020-12-24"
"003030","祖名股份","祖名豆制品股份有限公司","2021-01-06"
"003031","中瓷电子","河北中瓷电子科技股份有限公司","2021-01-04"
"003032","传智教育","江苏传智播客教育科技股份有限公司","2021-01-12"
"003033","征和工业","青岛征和工业股份有限公司","2021-01-11"
"003035","南网能源","南方电网综合能源股份有限公司","2021-01-19"
"003036","泰坦股份","浙江泰坦股份有限公司","2021-01-28"
"003037","三和管桩","广东三和管桩股份有限公司","2021-02-04"
"003038","鑫铂股份","安徽鑫铂铝业股份有限公司","2021-02-10"
"003039","顺控发展","广东顺控发展股份有限公司","2021-03-08"
"003040","楚天龙","楚天龙股份有限公司","2021-03-22"
"003041","真爱美家","浙江真爱美家股份有限公司","2021-04-06"
"003042","中农联合","山东中农联合生物科技股份有限公司","2021-04-06"
"003043","华亚智能","苏州华亚智能科技股份有限公司","2021-04-06"
"003816","中国广核","中国广核电力股份有限公司","2019-08-26"
"200002","万科B","万科企业股份有限公司","1993-05-28"
"200003","PT 金田B","金田实业(集团)股份有限公司","1993-06-29"
"200011","深物业B","深圳市物业发展(集团)股份有限公司","1992-03-30"
"200012","南玻B","中国南玻集团股份有限公司","1992-02-28"
"200013","*ST 石化B","深圳石化工业集团股份有限公司","1992-05-06"
"200015","PT 中浩B","深圳中浩(集团)股份有限公司","1992-06-25"
"200016","深康佳B","康佳集团股份有限公司","1992-03-27"
"200017","深中华 B","深圳中华自行车(集团)股份有限公司","1992-03-31"
"200018","神城B退","神州长城股份有限公司","1992-06-16"
"200019","深粮B","深圳市深粮控股股份有限公司","1992-10-12"
"200020","深华发B","深圳中恒华发股份有限公司","1992-04-28"
"200022","深赤湾B","招商局港口集团股份有限公司","1993-05-05"
"200024","招商局B","招商局地产控股股份有限公司","1993-06-07"
"200025","特力B","深圳市特力(集团)股份有限公司","1993-06-21"
"200026","飞亚达B","飞亚达精密科技股份有限公司","1993-06-03"
"200028","一致B","国药集团一致药业股份有限公司","1993-08-09"
"200029","深深房B","深圳经济特区房地产(集团)股份有限公司","1994-01-10"
"200030","富奥B","富奥汽车零部件股份有限公司","1993-09-29"
"200037","深南电B","深圳南山热电股份有限公司","1994-11-28"
"200039","中集B","中国国际海运集装箱(集团)股份有限公司","1994-03-23"
"200041","*ST 本实B","深圳本鲁克斯实业股份有限公司","1994-05-30"
"200045","深纺织B","深圳市纺织(集团)股份有限公司","1994-08-15"
"200053","深基地B","深圳赤湾石油基地股份有限公司","1995-07-28"
"200054","建车B","重庆建设汽车系统股份有限公司","1995-07-25"
"200055","方大B","方大集团股份有限公司","1995-11-29"
"200056","皇庭B","深圳市皇庭国际企业股份有限公司","1995-10-30"
"200057","*ST 大洋B","深圳大洋海运股份有限公司","1995-12-21"
"200058","深赛格B","深圳赛格股份有限公司","1996-07-22"
"200152","*ST 山航B","山东航空股份有限公司","2000-09-12"
"200160","东沣B退","东沣科技集团股份有限公司","2000-09-29"
"200168","*ST 舜喆B","广东舜喆(集团)股份有限公司","2000-10-27"
"200413","东旭B","东旭光电科技股份有限公司","1996-07-08"
"200418","小天鹅B","无锡小天鹅股份有限公司","1996-07-18"
"200429","粤高速B","广东省高速公路发展股份有限公司","1996-08-15"
"200468","宁通信B","南京普天通信股份有限公司","1997-05-22"
"200488","晨鸣B","山东晨鸣纸业集团股份有限公司","1997-05-26"
"200505","京粮B","海南京粮控股股份有限公司","1995-06-29"
"200512","闽灿坤B","厦门灿坤实业股份有限公司","1993-06-30"
"200513","丽珠B","丽珠医药集团股份有限公司","1993-07-20"
"200521","虹美菱B","长虹美菱股份有限公司","1996-08-28"
"200530","冰山B","冰山冷热科技股份有限公司","1998-03-20"
"200539","粤电力B","广东电力发展股份有限公司","1995-06-28"
"200541","粤照明B","佛山电器照明股份有限公司","1995-08-08"
"200550","江铃B","江铃汽车股份有限公司","1995-09-29"
"200553","安道麦B","安道麦股份有限公司","1997-05-15"
"200570","苏常柴B","常柴股份有限公司","1996-09-13"
"200581","苏威孚B","无锡威孚高科技集团股份有限公司","1995-09-11"
"200596","古井贡B","安徽古井贡酒股份有限公司","1996-06-12"
"200613","东海B退","海南大东海旅游中心股份有限公司","1996-10-08"
"200625","长安B","重庆长安汽车股份有限公司","1996-11-08"
"200706","瓦轴B","瓦房店轴承股份有限公司","1997-03-25"
"200725","京东方B","京东方科技集团股份有限公司","1997-06-10"
"200726","鲁泰B","鲁泰纺织股份有限公司","1997-08-19"
"200761","本钢板B","本钢板材股份有限公司","1997-07-08"
"200770","武锅B退","武汉锅炉股份有限公司","1998-04-15"
"200771","杭汽轮B","杭州汽轮机股份有限公司","1998-04-28"
"200869","张裕B","烟台张裕葡萄酿酒股份有限公司","1997-09-23"
"200986","粤华包B","佛山华新包装股份有限公司","2000-07-06"
"200992","中鲁B","山东省中鲁远洋渔业股份有限公司","2000-07-24"
"201872","招港B","招商局港口集团股份有限公司","2018-12-26"
"300001","特锐德","青岛特锐德电气股份有限公司","2009-10-30"
"300002","神州泰岳","北京神州泰岳软件股份有限公司","2009-10-30"
"300003","乐普医疗","乐普(北京)医疗器械股份有限公司","2009-10-30"
"300004","南风股份","南方风机股份有限公司","2009-10-30"
"300005","探路者","探路者控股集团股份有限公司","2009-10-30"
"300006","莱美药业","重庆莱美药业股份有限公司","2009-10-30"
"300007","汉威科技","汉威科技集团股份有限公司","2009-10-30"
"300008","天海防务","天海融合防务装备技术股份有限公司","2009-10-30"
"300009","安科生物","安徽安科生物工程(集团)股份有限公司","2009-10-30"
"300010","豆神教育","豆神教育科技(北京)股份有限公司","2009-10-30"
"300011","鼎汉技术","北京鼎汉技术集团股份有限公司","2009-10-30"
"300012","华测检测","华测检测认证集团股份有限公司","2009-10-30"
"300013","新宁物流","江苏新宁现代物流股份有限公司","2009-10-30"
"300014","亿纬锂能","惠州亿纬锂能股份有限公司","2009-10-30"
"300015","爱尔眼科","爱尔眼科医院集团股份有限公司","2009-10-30"
"300016","北陆药业","北京北陆药业股份有限公司","2009-10-30"
"300017","网宿科技","网宿科技股份有限公司","2009-10-30"
"300018","中元股份","武汉中元华电科技股份有限公司","2009-10-30"
"300019","硅宝科技","成都硅宝科技股份有限公司","2009-10-30"
"300020","银江技术","银江技术股份有限公司","2009-10-30"
"300021","大禹节水","大禹节水集团股份有限公司","2009-10-30"
"300022","吉峰科技","吉峰三农科技服务股份有限公司","2009-10-30"
"300023","宝德退","西安宝德自动化股份有限公司","2009-10-30"
"300024","机器人","沈阳新松机器人自动化股份有限公司","2009-10-30"
"300025","华星创业","杭州华星创业通信技术股份有限公司","2009-10-30"
"300026","红日药业","天津红日药业股份有限公司","2009-10-30"
"300027","华谊兄弟","华谊兄弟传媒股份有限公司","2009-10-30"
"300028","金亚退","金亚科技股份有限公司","2009-10-30"
"300029","ST 天龙","江苏华盛天龙光电设备股份有限公司","2009-12-25"
"300030","阳普医疗","阳普医疗科技股份有限公司","2009-12-25"
"300031","宝通科技","无锡宝通科技股份有限公司","2009-12-25"
"300032","金龙机电","金龙机电股份有限公司","2009-12-25"
"300033","同花顺","浙江核新同花顺网络信息股份有限公司","2009-12-25"
"300034","钢研高纳","北京钢研高纳科技股份有限公司","2009-12-25"
"300035","中科电气","湖南中科电气股份有限公司","2009-12-25"
"300036","超图软件","北京超图软件股份有限公司","2009-12-25"
"300037","新宙邦","深圳新宙邦科技股份有限公司","2010-01-08"
"300038","数知退","北京数知科技股份有限公司","2010-01-08"
"300039","上海凯宝","上海凯宝药业股份有限公司","2010-01-08"
"300040","九洲集团","哈尔滨九洲集团股份有限公司","2010-01-08"
"300041","回天新材","湖北回天新材料股份有限公司","2010-01-08"
"300042","朗科科技","深圳市朗科科技股份有限公司","2010-01-08"
"300043","星辉娱乐","星辉互动娱乐股份有限公司","2010-01-20"
"300044","赛为智能","深圳市赛为智能股份有限公司","2010-01-20"
"300045","华力创通","北京华力创通科技股份有限公司","2010-01-20"
"300046","台基股份","湖北台基半导体股份有限公司","2010-01-20"
"300047","天源迪科","深圳天源迪科信息技术股份有限公司","2010-01-20"
"300048","合康新能","北京合康新能科技股份有限公司","2010-01-20"
"300049","福瑞股份","内蒙古福瑞医疗科技股份有限公司","2010-01-20"
"300050","世纪鼎利","珠海世纪鼎利科技股份有限公司","2010-01-20"
"300051","三五互联","厦门三五互联科技股份有限公司","2010-02-11"
"300052","中青宝","深圳中青宝互动网络股份有限公司","2010-02-11"
"300053","欧比特","珠海欧比特宇航科技股份有限公司","2010-02-11"
"300054","鼎龙股份","湖北鼎龙控股股份有限公司","2010-02-11"
"300055","万邦达","北京万邦达环保技术股份有限公司","2010-02-26"
"300056","中创环保","厦门中创环保科技股份有限公司","2010-02-26"
"300057","万顺新材","汕头万顺新材集团股份有限公司","2010-02-26"
"300058","蓝色光标","北京蓝色光标数据科技股份有限公司","2010-02-26"
"300059","东方财富","东方财富信息股份有限公司","2010-03-19"
"300061","旗天科技","旗天科技集团股份有限公司","2010-03-19"
"300062","中能电气","中能电气股份有限公司","2010-03-19"
"300063","天龙集团","广东天龙科技集团股份有限公司","2010-03-26"
"300064","金刚退","郑州华晶金刚石股份有限公司","2010-03-26"
"300065","海兰信","北京海兰信数据科技股份有限公司","2010-03-26"
"300066","三川智慧","三川智慧科技股份有限公司","2010-03-26"
"300067","安诺其","上海安诺其集团股份有限公司","2010-04-21"
"300068","南都电源","浙江南都电源动力股份有限公司","2010-04-21"
"300069","金利华电","金利华电气股份有限公司","2010-04-21"
"300070","碧水源","北京碧水源科技股份有限公司","2010-04-21"
"300071","华谊嘉信","北京华谊嘉信整合营销顾问集团股份有限公司","2010-04-21"
"300072","三聚环保","北京三聚环保新材料股份有限公司","2010-04-27"
"300073","当升科技","北京当升材料科技股份有限公司","2010-04-27"
"300074","华平股份","华平信息技术股份有限公司","2010-04-27"
"300075","数字政通","北京数字政通科技股份有限公司","2010-04-27"
"300076","GQY视讯","宁波GQY视讯股份有限公司","2010-04-30"
"300077","国民技术","国民技术股份有限公司","2010-04-30"
"300078","思创医惠","思创医惠科技股份有限公司","2010-04-30"
"300079","数码视讯","北京数码视讯科技股份有限公司","2010-04-30"
"300080","易成新能","河南易成新能源股份有限公司","2010-06-25"
"300081","恒信东方","恒信东方文化股份有限公司","2010-05-20"
"300082","奥克股份","辽宁奥克化学股份有限公司","2010-05-20"
"300083","创世纪","广东创世纪智能装备集团股份有限公司","2010-05-20"
"300084","海默科技","海默科技(集团)股份有限公司","2010-05-20"
"300085","银之杰","深圳市银之杰科技股份有限公司","2010-05-26"
"300086","康芝药业","康芝药业股份有限公司","2010-05-26"
"300087","荃银高科","安徽荃银高科种业股份有限公司","2010-05-26"
"300088","长信科技","芜湖长信科技股份有限公司","2010-05-26"
"300089","*ST 文化","广东文化长城集团股份有限公司","2010-06-25"
"300090","盛运退","安徽盛运环保(集团)股份有限公司","2010-06-25"
"300091","金通灵","金通灵科技集团股份有限公司","2010-06-25"
"300092","科新机电","四川科新机电股份有限公司","2010-07-08"
"300093","金刚玻璃","甘肃金刚玻璃科技股份有限公司","2010-07-08"
"300094","国联水产","湛江国联水产开发股份有限公司","2010-07-08"
"300095","华伍股份","江西华伍制动器股份有限公司","2010-07-28"
"300096","易联众","易联众信息技术股份有限公司","2010-07-28"
"300097","智云股份","大连智云自动化装备股份有限公司","2010-07-28"
"300098","高新兴","高新兴科技集团股份有限公司","2010-07-28"
"300099","精准信息","尤洛卡精准信息工程股份有限公司","2010-08-06"
"300100","双林股份","宁波双林汽车部件股份有限公司","2010-08-06"
"300101","振芯科技","成都振芯科技股份有限公司","2010-08-06"
"300102","乾照光电","厦门乾照光电股份有限公司","2010-08-12"
"300103","达刚控股","达刚控股集团股份有限公司","2010-08-12"
"300104","乐视退","乐视网信息技术(北京)股份有限公司","2010-08-12"
"300105","龙源技术","烟台龙源电力技术股份有限公司","2010-08-20"
"300106","西部牧业","新疆西部牧业股份有限公司","2010-08-20"
"300107","建新股份","河北建新化工股份有限公司","2010-08-20"
"300108","吉药控股","吉药控股集团股份有限公司","2010-08-25"
"300109","新开源","博爱新开源医疗科技集团股份有限公司","2010-08-25"
"300110","华仁药业","华仁药业股份有限公司","2010-08-25"
"300111","向日葵","浙江向日葵大健康科技股份有限公司","2010-08-27"
"300112","万讯自控","深圳万讯自控股份有限公司","2010-08-27"
"300113","顺网科技","杭州顺网科技股份有限公司","2010-08-27"
"300114","中航电测","中航电测仪器股份有限公司","2010-08-27"
"300115","长盈精密","深圳市长盈精密技术股份有限公司","2010-09-02"
"300116","保力新","保力新能源科技股份有限公司","2010-09-02"
"300117","嘉寓股份","北京嘉寓门窗幕墙股份有限公司","2010-09-02"
"300118","东方日升","东方日升新能源股份有限公司","2010-09-02"
"300119","瑞普生物","天津瑞普生物技术股份有限公司","2010-09-17"
"300120","经纬辉开","天津经纬辉开光电股份有限公司","2010-09-17"
"300121","阳谷华泰","山东阳谷华泰化工股份有限公司","2010-09-17"
"300122","智飞生物","重庆智飞生物制品股份有限公司","2010-09-28"
"300123","亚光科技","亚光科技集团股份有限公司","2010-09-28"
"300124","汇川技术","深圳市汇川技术股份有限公司","2010-09-28"
"300125","聆达股份","聆达集团股份有限公司","2010-10-13"
"300126","锐奇股份","锐奇控股股份有限公司","2010-10-13"
"300127","银河磁体","成都银河磁体股份有限公司","2010-10-13"
"300128","锦富技术","苏州锦富技术股份有限公司","2010-10-13"
"300129","泰胜风能","上海泰胜风能装备股份有限公司","2010-10-19"
"300130","新国都","深圳市新国都股份有限公司","2010-10-19"
"300131","英唐智控","深圳市英唐智能控制股份有限公司","2010-10-19"
"300132","青松股份","福建青松股份有限公司","2010-10-26"
"300133","华策影视","浙江华策影视股份有限公司","2010-10-26"
"300134","大富科技","大富科技(安徽)股份有限公司","2010-10-26"
"300135","宝利国际","江苏宝利国际投资股份有限公司","2010-10-26"
"300136","信维通信","深圳市信维通信股份有限公司","2010-11-05"
"300137","先河环保","河北先河环保科技股份有限公司","2010-11-05"
"300138","晨光生物","晨光生物科技集团股份有限公司","2010-11-05"
"300139","晓程科技","北京晓程科技股份有限公司","2010-11-12"
"300140","中环装备","中节能环保装备股份有限公司","2010-11-12"
"300141","和顺电气","苏州工业园区和顺电气股份有限公司","2010-11-12"
"300142","沃森生物","云南沃森生物技术股份有限公司","2010-11-12"
"300143","盈康生命","盈康生命科技股份有限公司","2010-12-09"
"300144","宋城演艺","宋城演艺发展股份有限公司","2010-12-09"
"300145","中金环境","南方中金环境股份有限公司","2010-12-09"
"300146","汤臣倍健","汤臣倍健股份有限公司","2010-12-15"
"300147","香雪制药","广州市香雪制药股份有限公司","2010-12-15"
"300148","天舟文化","天舟文化股份有限公司","2010-12-15"
"300149","睿智医药","睿智医药科技股份有限公司","2010-12-22"
"300150","世纪瑞尔","北京世纪瑞尔技术股份有限公司","2010-12-22"
"300151","昌红科技","深圳市昌红科技股份有限公司","2010-12-22"
"300152","科融环境","雄安科融环境科技股份有限公司","2010-12-29"
"300153","科泰电源","上海科泰电源股份有限公司","2010-12-29"
"300154","瑞凌股份","深圳市瑞凌实业集团股份有限公司","2010-12-29"
"300155","安居宝","广东安居宝数码科技股份有限公司","2011-01-07"
"300156","神雾退","神雾环保技术股份有限公司","2011-01-07"
"300157","恒泰艾普","恒泰艾普集团股份有限公司","2011-01-07"
"300158","振东制药","山西振东制药股份有限公司","2011-01-07"
"300159","ST 新研","新疆机械研究院股份有限公司","2011-01-07"
"300160","秀强股份","江苏秀强玻璃工艺股份有限公司","2011-01-13"
"300161","华中数控","武汉华中数控股份有限公司","2011-01-13"
"300162","雷曼光电","深圳雷曼光电科技股份有限公司","2011-01-13"
"300163","先锋新材","宁波先锋新材料股份有限公司","2011-01-13"
"300164","通源石油","通源石油科技集团股份有限公司","2011-01-13"
"300165","天瑞仪器","江苏天瑞仪器股份有限公司","2011-01-25"
"300166","东方国信","北京东方国信科技股份有限公司","2011-01-25"
"300167","迪威迅","深圳市迪威迅股份有限公司","2011-01-25"
"300168","万达信息","万达信息股份有限公司","2011-01-25"
"300169","天晟新材","常州天晟新材料股份有限公司","2011-01-25"
"300170","汉得信息","上海汉得信息技术股份有限公司","2011-02-01"
"300171","东富龙","东富龙科技集团股份有限公司","2011-02-01"
"300172","中电环保","中电环保股份有限公司","2011-02-01"
"300173","福能东方","福能东方装备科技股份有限公司","2011-02-01"
"300174","元力股份","福建元力活性炭股份有限公司","2011-02-01"
"300175","朗源股份","朗源股份有限公司","2011-02-15"
"300176","派生科技","广东派生智能科技股份有限公司","2011-02-15"
"300177","中海达","广州中海达卫星导航技术股份有限公司","2011-02-15"
"300178","腾邦退","腾邦国际商业服务集团股份有限公司","2011-02-15"
"300179","四方达","河南四方达超硬材料股份有限公司","2011-02-15"
"300180","华峰超纤","上海华峰超纤科技股份有限公司","2011-02-22"
"300181","佐力药业","浙江佐力药业股份有限公司","2011-02-22"
"300182","捷成股份","北京捷成世纪科技股份有限公司","2011-02-22"
"300183","东软载波","青岛东软载波科技股份有限公司","2011-02-22"
"300184","力源信息","武汉力源信息技术股份有限公司","2011-02-22"
"300185","通裕重工","通裕重工股份有限公司","2011-03-08"
"300186","大华农","广东大华农动物保健品股份有限公司","2011-03-08"
"300187","永清环保","永清环保股份有限公司","2011-03-08"
"300188","美亚柏科","厦门市美亚柏科信息股份有限公司","2011-03-16"
"300189","神农科技","海南神农科技股份有限公司","2011-03-16"
"300190","维尔利","维尔利环保科技集团股份有限公司","2011-03-16"
"300191","潜能恒信","潜能恒信能源技术股份有限公司","2011-03-16"
"300192","科德教育","苏州科德教育科技股份有限公司","2011-03-22"
"300193","佳士科技","深圳市佳士科技股份有限公司","2011-03-22"
"300194","福安药业","福安药业(集团)股份有限公司","2011-03-22"
"300195","长荣股份","天津长荣科技集团股份有限公司","2011-03-29"
"300196","长海股份","江苏长海复合材料股份有限公司","2011-03-29"
"300197","节能铁汉","中节能铁汉生态环境股份有限公司","2011-03-29"
"300198","纳川股份","福建纳川管材科技股份有限公司","2011-04-07"
"300199","翰宇药业","深圳翰宇药业股份有限公司","2011-04-07"
"300200","高盟新材","北京高盟新材料股份有限公司","2011-04-07"
"300201","*ST 海伦","徐州海伦哲专用车辆股份有限公司","2011-04-07"
"300202","聚龙退","聚龙股份有限公司","2011-04-15"
"300203","聚光科技","聚光科技(杭州)股份有限公司","2011-04-15"
"300204","舒泰神","舒泰神(北京)生物制药股份有限公司","2011-04-15"
"300205","天喻信息","武汉天喻信息产业股份有限公司","2011-04-21"
"300206","理邦仪器","深圳市理邦精密仪器股份有限公司","2011-04-21"
"300207","欣旺达","欣旺达电子股份有限公司","2011-04-21"
"300208","青岛中程","青岛中资中程集团股份有限公司","2011-04-26"
"300209","天泽信息","天泽信息产业股份有限公司","2011-04-26"
"300210","森远股份","鞍山森远路桥股份有限公司","2011-04-26"
"300211","亿通科技","江苏亿通高科技股份有限公司","2011-05-05"
"300212","易华录","北京易华录信息技术股份有限公司","2011-05-05"
"300213","佳讯飞鸿","北京佳讯飞鸿电气股份有限公司","2011-05-05"
"300214","日科化学","山东日科化学股份有限公司","2011-05-11"
"300215","电科院","苏州电器科学研究院股份有限公司","2011-05-11"
"300216","千山退","湖南千山制药机械股份有限公司","2011-05-11"
"300217","东方电热","镇江东方电热科技股份有限公司","2011-05-18"
"300218","安利股份","安徽安利材料科技股份有限公司","2011-05-18"
"300219","鸿利智汇","鸿利智汇集团股份有限公司","2011-05-18"
"300220","金运激光","武汉金运激光股份有限公司","2011-05-25"
"300221","银禧科技","广东银禧科技股份有限公司","2011-05-25"
"300222","科大智能","科大智能科技股份有限公司","2011-05-25"
"300223","北京君正","北京君正集成电路股份有限公司","2011-05-31"
"300224","正海磁材","烟台正海磁性材料股份有限公司","2011-05-31"
"300225","金力泰","上海金力泰化工股份有限公司","2011-05-31"
"300226","上海钢联","上海钢联电子商务股份有限公司","2011-06-08"
"300227","光韵达","深圳光韵达光电科技股份有限公司","2011-06-08"
"300228","富瑞特装","张家港富瑞特种装备股份有限公司","2011-06-08"
"300229","拓尔思","拓尔思信息技术股份有限公司","2011-06-15"
"300230","永利股份","上海永利带业股份有限公司","2011-06-15"
"300231","银信科技","北京银信长远科技股份有限公司","2011-06-15"
"300232","洲明科技","深圳市洲明科技股份有限公司","2011-06-22"
"300233","金城医药","山东金城医药集团股份有限公司","2011-06-22"
"300234","开尔新材","浙江开尔新材料股份有限公司","2011-06-22"
"300235","方直科技","深圳市方直科技股份有限公司","2011-06-29"
"300236","上海新阳","上海新阳半导体材料股份有限公司","2011-06-29"
"300237","美晨生态","山东美晨生态环境股份有限公司","2011-06-29"
"300238","冠昊生物","冠昊生物科技股份有限公司","2011-07-06"
"300239","东宝生物","包头东宝生物技术股份有限公司","2011-07-06"
"300240","飞力达","江苏飞力达国际物流股份有限公司","2011-07-06"
"300241","瑞丰光电","深圳市瑞丰光电子股份有限公司","2011-07-12"
"300242","佳云科技","广东佳兆业佳云科技股份有限公司","2011-07-12"
"300243","瑞丰高材","山东瑞丰高分子材料股份有限公司","2011-07-12"
"300244","迪安诊断","迪安诊断技术集团股份有限公司","2011-07-19"
"300245","天玑科技","上海天玑科技股份有限公司","2011-07-19"
"300246","宝莱特","广东宝莱特医用科技股份有限公司","2011-07-19"
"300247","融捷健康","融捷健康科技股份有限公司","2011-07-29"
"300248","新开普","新开普电子股份有限公司","2011-07-29"
"300249","依米康","依米康科技集团股份有限公司","2011-08-03"
"300250","初灵信息","杭州初灵信息技术股份有限公司","2011-08-03"
"300251","光线传媒","北京光线传媒股份有限公司","2011-08-03"
"300252","金信诺","深圳金信诺高新技术股份有限公司","2011-08-18"
"300253","卫宁健康","卫宁健康科技集团股份有限公司","2011-08-18"
"300254","仟源医药","山西仟源医药集团股份有限公司","2011-08-19"
"300255","常山药业","河北常山生化药业股份有限公司","2011-08-19"
"300256","*ST 星星","江西星星科技股份有限公司","2011-08-19"
"300257","开山股份","开山集团股份有限公司","2011-08-19"
"300258","精锻科技","江苏太平洋精锻科技股份有限公司","2011-08-26"
"300259","新天科技","新天科技股份有限公司","2011-08-31"
"300260","新莱应材","昆山新莱洁净应用材料股份有限公司","2011-09-06"
"300261","雅本化学","雅本化学股份有限公司","2011-09-06"
"300262","巴安水务","上海巴安水务股份有限公司","2011-09-16"
"300263","隆华科技","隆华科技集团(洛阳)股份有限公司","2011-09-16"
"300264","佳创视讯","深圳市佳创视讯技术股份有限公司","2011-09-16"
"300265","通光线缆","江苏通光电子线缆股份有限公司","2011-09-16"
"300266","兴源环境","兴源环境科技股份有限公司","2011-09-27"
"300267","尔康制药","湖南尔康制药股份有限公司","2011-09-27"
"300268","佳沃食品","佳沃食品股份有限公司","2011-09-27"
"300269","ST 联建","深圳市联建光电股份有限公司","2011-10-12"
"300270","中威电子","杭州中威电子股份有限公司","2011-10-12"
"300271","华宇软件","北京华宇软件股份有限公司","2011-10-26"
