"Stkcd","Stknme","Conme","Listdt"
"000418","小天鹅A","无锡小天鹅股份有限公司","1997-03-28"
"000419","通程控股","长沙通程控股股份有限公司","1996-08-16"
"000420","吉林化纤","吉林化纤股份有限公司","1996-08-02"
"000421","南京公用","南京公用发展股份有限公司","1996-08-06"
"000422","湖北宜化","湖北宜化化工股份有限公司","1996-08-15"
"000423","东阿阿胶","东阿阿胶股份有限公司","1996-07-29"
"000425","徐工机械","徐工集团工程机械股份有限公司","1996-08-28"
"000426","兴业矿业","内蒙古兴业矿业股份有限公司","1996-08-28"
"000428","华天酒店","华天酒店集团股份有限公司","1996-08-08"
"000429","粤高速A","广东省高速公路发展股份有限公司","1998-02-20"
"000430","张家界","张家界旅游集团股份有限公司","1996-08-29"
"000488","晨鸣纸业","山东晨鸣纸业集团股份有限公司","2000-11-20"
"000498","山东路桥","山东高速路桥集团股份有限公司","1997-06-09"
"000501","武商集团","武商集团股份有限公司","1992-11-20"
"000502","绿景退","绿景控股股份有限公司","1992-11-23"
"000503","国新健康","国新健康保障服务集团股份有限公司","1992-11-30"
"000504","南华生物","南华生物医药股份有限公司","1992-12-08"
"000505","京粮控股","海南京粮控股股份有限公司","1992-12-21"
"000506","中润资源","中润资源投资股份有限公司","1993-03-12"
"000507","珠海港","珠海港股份有限公司","1993-03-26"
"000508","琼民源A","海南民源现代农业发展股份有限公司","1993-04-30"
"000509","*ST 华塑","华塑控股股份有限公司","1993-05-07"
"000510","新金路","四川新金路集团股份有限公司","1993-05-07"
"000511","烯碳退","银基烯碳新材料集团股份有限公司","1993-05-18"
"000513","丽珠集团","丽珠医药集团股份有限公司","1993-10-28"
"000514","渝开发","重庆渝开发股份有限公司","1993-07-12"
"000515","攀渝钛业","攀钢集团重庆钛业股份有限公司","1993-07-12"
"000516","国际医学","西安国际医学投资股份有限公司","1993-08-09"
"000517","荣安地产","荣安地产股份有限公司","1993-08-06"
"000518","四环生物","江苏四环生物股份有限公司","1993-09-08"
"000519","中兵红箭","中兵红箭股份有限公司","1993-10-08"
"000520","长航凤凰","长航凤凰股份有限公司","1993-10-25"
"000521","长虹美菱","长虹美菱股份有限公司","1993-10-18"
"000522","白云山A","广州白云山制药股份有限公司","1993-11-08"
"000523","广州浪奇","广州市浪奇实业股份有限公司","1993-11-08"
"000524","岭南控股","广州岭南集团控股股份有限公司","1993-11-18"
"000525","ST 红太阳","南京红太阳股份有限公司","1993-10-28"
"000526","学大教育","学大(厦门)教育科技集团股份有限公司","1993-11-01"
"000527","美的电器","广东美的电器股份有限公司","1993-11-12"
"000528","柳工","广西柳工机械股份有限公司","1993-11-18"
"000529","广弘控股","广东广弘控股股份有限公司","1993-11-18"
"000530","冰山冷热","冰山冷热科技股份有限公司","1993-12-08"
"000531","穗恒运A","广州恒运企业集团股份有限公司","1994-01-06"
"000532","华金资本","珠海华金资本股份有限公司","1994-01-03"
"000533","顺钠股份","广东顺钠电气股份有限公司","1994-01-03"
"000534","万泽股份","万泽实业股份有限公司","1994-01-10"
"000535","*ST 猴王","猴王股份有限公司","1993-11-30"
"000536","华映科技","华映科技(集团)股份有限公司","1993-11-26"
"000537","广宇发展","天津广宇发展股份有限公司","1993-12-10"
"000538","云南白药","云南白药集团股份有限公司","1993-12-15"
"000539","粤电力A","广东电力发展股份有限公司","1993-11-26"
"000540","中天金融","中天金融集团股份有限公司","1994-02-02"
"000541","佛山照明","佛山电器照明股份有限公司","1993-11-23"
"000542","TCL通讯","TCL通讯设备股份有限公司","1993-12-01"
"000543","皖能电力","安徽省皖能股份有限公司","1993-12-20"
"000544","中原环保","中原环保股份有限公司","1993-12-08"
"000545","金浦钛业","金浦钛业股份有限公司","1993-12-15"
"000546","金圆股份","金圆环保股份有限公司","1993-12-15"
"000547","航天发展","航天工业发展股份有限公司","1993-11-30"
"000548","湖南投资","湖南投资集团股份有限公司","1993-12-20"
"000549","S 湘火炬","湘火炬汽车集团股份有限公司","1993-12-20"
"000550","江铃汽车","江铃汽车股份有限公司","1993-12-01"
"000551","创元科技","创元科技股份有限公司","1994-01-06"
"000552","靖远煤电","甘肃靖远煤电股份有限公司","1994-01-06"
"000553","安道麦A","安道麦股份有限公司","1993-12-03"
"000554","泰山石油","中国石化山东泰山石油股份有限公司","1993-12-15"
"000555","神州信息","神州数码信息服务股份有限公司","1994-04-08"
"000556","PT 南洋","南洋航运集团股份有限公司","1994-05-25"
"000557","西部创业","宁夏西部创业实业股份有限公司","1994-06-17"
"000558","莱茵体育","莱茵达体育发展股份有限公司","1994-05-09"
"000559","万向钱潮","万向钱潮股份公司","1994-01-10"
"000560","我爱我家","我爱我家控股集团股份有限公司","1994-02-02"
"000561","烽火电子","陕西烽火电子股份有限公司","1994-05-09"
"000562","宏源证券","宏源证券股份有限公司","1994-02-02"
"000563","陕国投A","陕西省国际信托股份有限公司","1994-01-10"
"000564","ST 大集","供销大集集团股份有限公司","1994-01-10"
"000565","渝三峡A","重庆三峡油漆股份有限公司","1994-04-08"
"000566","海南海药","海南海药股份有限公司","1994-05-25"
"000567","海德股份","海南海德资本管理股份有限公司","1994-05-25"
"000568","泸州老窖","泸州老窖股份有限公司","1994-05-09"
"000569","长城股份","攀钢集团四川长城特殊钢股份有限公司","1994-04-25"
"000570","苏常柴A","常柴股份有限公司","1994-07-01"
"000571","ST 大洲","新大洲控股股份有限公司","1994-05-25"
"000572","海马汽车","海马汽车股份有限公司","1994-08-08"
"000573","粤宏远A","东莞宏远工业区股份有限公司","1994-08-15"
"000576","甘化科工","广东甘化科工股份有限公司","1994-09-07"
"000578","盐湖集团","青海盐湖工业集团股份有限公司","1995-03-03"
"000581","威孚高科","无锡威孚高科技集团股份有限公司","1998-09-24"
"000582","北部湾港","北部湾港股份有限公司","1995-11-02"
"000583","S*ST 托普","四川托普软件投资股份有限公司","1995-11-01"
"000584","哈工智能","江苏哈工智能机器人股份有限公司","1995-11-28"
"000585","东电退","东北电气发展股份有限公司","1995-12-13"
"000586","汇源通信","四川汇源光通信股份有限公司","1995-12-20"
"000587","*ST 金洲","金洲慈航集团股份有限公司","1996-04-25"
"000588","PT 粤金曼","广东金曼集团股份有限公司","1996-01-23"
"000589","贵州轮胎","贵州轮胎股份有限公司","1996-03-08"
"000590","启迪药业","启迪药业集团股份公司","1996-01-19"
"000591","太阳能","中节能太阳能股份有限公司","1996-02-08"
"000592","平潭发展","中福海峡(平潭)发展股份有限公司","1996-03-27"
"000593","德龙汇能","德龙汇能集团股份有限公司","1996-03-12"
"000594","国恒退","天津国恒铁路控股股份有限公司","1996-03-20"
"000595","宝塔实业","宝塔实业股份有限公司","1996-04-19"
"000596","古井贡酒","安徽古井贡酒股份有限公司","1996-09-27"
"000597","东北制药","东北制药集团股份有限公司","1996-05-23"
"000598","兴蓉环境","成都市兴蓉环境股份有限公司","1996-05-29"
"000599","青岛双星","青岛双星股份有限公司","1996-04-30"
"000600","建投能源","河北建投能源投资股份有限公司","1996-06-06"
"000601","韶能股份","广东韶能集团股份有限公司","1996-08-30"
"000602","金马集团","广东金马旅游集团股份有限公司","1996-08-19"
"000603","盛达资源","盛达金属资源股份有限公司","1996-08-23"
"000605","渤海股份","渤海水业股份有限公司","1996-09-13"
"000606","*ST 顺利","顺利办信息服务股份有限公司","1996-10-04"
"000607","华媒控股","浙江华媒控股股份有限公司","1996-08-30"
"000608","阳光股份","阳光新业地产股份有限公司","1996-09-19"
"000609","中迪投资","北京中迪投资股份有限公司","1996-10-10"
"000610","西安旅游","西安旅游股份有限公司","1996-09-26"
"000611","天首退","内蒙古天首科技发展股份有限公司","1996-10-08"
"000612","焦作万方","焦作万方铝业股份有限公司","1996-09-26"
"000613","东海A退","海南大东海旅游中心股份有限公司","1997-01-28"
"000615","奥园美谷","奥园美谷科技股份有限公司","1996-10-16"
"000616","ST 海投","海航投资集团股份有限公司","1996-11-08"
"000617","中油资本","中国石油集团资本股份有限公司","1996-10-22"
"000618","吉林化工","吉林化学工业股份有限公司","1996-10-15"
"000619","海螺新材","海螺(安徽)节能环保新材料股份有限公司","1996-10-23"
"000620","新华联","新华联文化旅游发展股份有限公司","1996-10-29"
"000621","*ST 比特","比特科技控股股份有限公司","1996-11-05"
"000622","恒立实业","恒立实业发展集团股份有限公司","1996-11-07"
"000623","吉林敖东","吉林敖东药业集团股份有限公司","1996-10-28"
"000625","长安汽车","重庆长安汽车股份有限公司","1997-06-10"
"000626","远大控股","远大产业控股股份有限公司","1996-11-28"
"000627","天茂集团","天茂实业集团股份有限公司","1996-11-12"
"000628","高新发展","成都高新发展股份有限公司","1996-11-18"
"000629","攀钢钒钛","攀钢集团钒钛资源股份有限公司","1996-11-15"
"000630","铜陵有色","铜陵有色金属集团股份有限公司","1996-11-20"
"000631","顺发恒业","顺发恒业股份公司","1996-11-22"
"000632","三木集团","福建三木集团股份有限公司","1996-11-21"
"000633","合金投资","新疆合金投资股份有限公司","1996-11-12"
"000635","英力特","宁夏英力特化工股份有限公司","1996-11-20"
"000636","风华高科","广东风华高新科技股份有限公司","1996-11-29"
"000637","茂化实华","茂名石化实华股份有限公司","1996-11-14"
"000638","*ST 万方","万方城镇投资发展股份有限公司","1996-11-26"
"000639","西王食品","西王食品股份有限公司","1996-11-26"
"000650","仁和药业","仁和药业股份有限公司","1996-12-10"
"000651","格力电器","珠海格力电器股份有限公司","1996-11-18"
"000652","泰达股份","天津泰达股份有限公司","1996-11-28"
"000653","ST 九州","福建九州集团股份有限公司","1996-11-26"
"000655","金岭矿业","山东金岭矿业股份有限公司","1996-11-28"
"000656","金科股份","金科地产集团股份有限公司","1996-11-28"
"000657","中钨高新","中钨高新材料股份有限公司","1996-12-05"
"000658","ST 海洋","厦门海洋实业(集团)股份有限公司","1996-12-18"
"000659","珠海中富","珠海中富实业股份有限公司","1996-12-03"
"000660","*ST 南华","广州汇集实业股份有限公司","1996-12-09"
