Stkcd,Trddt,Opnprc,Clsprc
2835,2022/6/1,8.99,9.15
2836,2022/6/1,9.17,9.27
2837,2022/6/1,21.6,22.95
2838,2022/6/1,18.38,18
2839,2022/6/1,4.9,4.9
2840,2022/6/1,13.33,13.43
2841,2022/6/1,70.15,71.14
2842,2022/6/1,8.05,8.11
2843,2022/6/1,9.07,9.08
2845,2022/6/1,17.2,17.55
2846,2022/6/1,6.16,6.19
2847,2022/6/1,72.5,70.99
2848,2022/6/1,9.54,9.73
2849,2022/6/1,11.43,11.55
2850,2022/6/1,134.37,134.16
2851,2022/6/1,19.87,20.3
2852,2022/6/1,10.19,10.2
2853,2022/6/1,10.91,11.17
2855,2022/6/1,7.62,7.55
2856,2022/6/1,12.26,11.78
2857,2022/6/1,15.15,15.81
2858,2022/6/1,10.65,10.76
2859,2022/6/1,23.5,25.19
2860,2022/6/1,16.42,16.47
2861,2022/6/1,10.56,10.4
2862,2022/6/1,10.86,10.93
2863,2022/6/1,5.3,5.2
2864,2022/6/1,34.62,34.79
2865,2022/6/1,83.59,79.02
2866,2022/6/1,10.2,10.28
2867,2022/6/1,14.26,14.74
2868,2022/6/1,11.63,12.79
2869,2022/6/1,12.83,12.87
2870,2022/6/1,29.24,29.43
2871,2022/6/1,9.44,9.56
2872,2022/6/1,5.02,5.07
2873,2022/6/1,14.91,14.76
2875,2022/6/1,8.85,8.91
2876,2022/6/1,28.38,28.59
2877,2022/6/1,6.08,6.02
2878,2022/6/1,18.25,18.8
2879,2022/6/1,13.8,13.95
2880,2022/6/1,24.33,24.67
2881,2022/6/1,38.5,39.41
2882,2022/6/1,9.2,9.27
2883,2022/6/1,14.77,14.8
2884,2022/6/1,19.78,20.01
2885,2022/6/1,24.09,23.9
2886,2022/6/1,16.73,18.4
2887,2022/6/1,9.06,9.12
2888,2022/6/1,11.81,11.84
2889,2022/6/1,23.58,23.72
2890,2022/6/1,14.75,14.9
2891,2022/6/1,22.8,22.7
2892,2022/6/1,15.37,15.76
2893,2022/6/1,8.46,8.48
2895,2022/6/1,32.3,33.95
2896,2022/6/1,13.68,13.8
2897,2022/6/1,38,37.3
2898,2022/6/1,11.17,11.49
2899,2022/6/1,11.77,11.99
2900,2022/6/1,12.19,12.15
2901,2022/6/1,34.3,35.14
2902,2022/6/1,10.41,10.43
2903,2022/6/1,13.52,13.76
2905,2022/6/1,7.59,7.65
2906,2022/6/1,38.67,39.12
2907,2022/6/1,12.23,12.17
2908,2022/6/1,11.79,11.72
2909,2022/6/1,6.36,6.24
2910,2022/6/1,11.35,11.18
2911,2022/6/1,9.02,8.98
2912,2022/6/1,21.91,22.26
2913,2022/6/1,28.04,28.4
2915,2022/6/1,22.9,23.06
2916,2022/6/1,92.11,91.33
2917,2022/6/1,8.51,8.55
2918,2022/6/1,13.33,14.62
2919,2022/6/1,26.35,26.59
2920,2022/6/1,127.23,132.7
2921,2022/6/1,15.01,14.64
2922,2022/6/1,15.65,15.17
2923,2022/6/1,18.78,18.39
2925,2022/6/1,19.43,19.88
2926,2022/6/1,7.05,7.07
2927,2022/6/1,10.16,10.22
2928,2022/6/1,10.78,10.69
2929,2022/6/1,30.99,32
2930,2022/6/1,19.46,20.16
2931,2022/6/1,9.49,9.82
2932,2022/6/1,93.53,93.76
2933,2022/6/1,25.33,25.26
2935,2022/6/1,29.02,29.2
2936,2022/6/1,2.64,2.65
2937,2022/6/1,17.4,18.16
2938,2022/6/1,30.77,30.3
2939,2022/6/1,8.56,8.73
2940,2022/6/1,37.5,38.99
2941,2022/6/1,17,16.8
2942,2022/6/1,17,16.9
2943,2022/6/1,42.02,43.46
2945,2022/6/1,14.07,14.38
2946,2022/6/1,11.5,11.86
2947,2022/6/1,17.31,16.74
2948,2022/6/1,3.47,3.46
2949,2022/6/1,12.7,12.74
2950,2022/6/1,12.19,12.2
2951,2022/6/1,8.35,8.23
2952,2022/6/1,11.45,11.49
2953,2022/6/1,12.75,13.08
2955,2022/6/1,20.26,20.4
2956,2022/6/1,14.2,13.98
2957,2022/6/1,16.1,17.14
2958,2022/6/1,3.24,3.25
2959,2022/6/1,58.77,59.13
2960,2022/6/1,30.32,30.55
2961,2022/6/1,16.25,16.47
2962,2022/6/1,11.05,11.32
2963,2022/6/1,11.96,12.03
2965,2022/6/1,25.2,27.07
2966,2022/6/1,5.89,5.85
2967,2022/6/1,17.29,18.21
2968,2022/6/1,23.28,23.37
2969,2022/6/1,4.07,4.07
2970,2022/6/1,24.18,26.49
2971,2022/6/1,22.12,22.62
2972,2022/6/1,16.77,17.08
2973,2022/6/1,12.15,12.24
2975,2022/6/1,35.51,34.5
2976,2022/6/1,19.04,19.87
2977,2022/6/1,53.79,54
2978,2022/6/1,31.76,32.31
2979,2022/6/1,16.31,17.01
2980,2022/6/1,26.16,26.3
2981,2022/6/1,21.38,21.16
2982,2022/6/1,36.8,37.35
2983,2022/6/1,19.4,19.37
2984,2022/6/1,29.62,30.29
2985,2022/6/1,62.02,62.45
2986,2022/6/1,21.51,21.6
2987,2022/6/1,19.35,19.14
2988,2022/6/1,12.22,12.48
2989,2022/6/1,17.1,17.33
2990,2022/6/1,24.8,24.57
2991,2022/6/1,54.39,54.99
2992,2022/6/1,11.84,12.04
2993,2022/6/1,33,32.66
2995,2022/6/1,22.81,22.51
2996,2022/6/1,12.2,12.4
2997,2022/6/1,13.99,13.92
2998,2022/6/1,7.48,7.88
2999,2022/6/1,7.68,7.57
3000,2022/6/1,8.2,8.45
3001,2022/6/1,17.81,17.98
