Stkcd,Trddt,Opnprc,Clsprc
300343,2022/6/1,11.69,11.85
300344,2022/6/1,4.07,4.08
300345,2022/6/1,5.76,5.86
300346,2022/6/1,29.75,29.68
300347,2022/6/1,85.97,84.97
300348,2022/6/1,9.02,9.07
300349,2022/6/1,9.69,9.68
300350,2022/6/1,5.72,5.75
300351,2022/6/1,13.36,13.6
300352,2022/6/1,4.26,4.39
300353,2022/6/1,7.37,7.41
300354,2022/6/1,27.55,28.57
300355,2022/6/1,3.95,3.92
300356,2022/6/1,2.06,2.11
300357,2022/6/1,47.33,45.38
300358,2022/6/1,16.6,17.36
300359,2022/6/1,4.78,4.73
300360,2022/6/1,9.49,9.66
300363,2022/6/1,68.83,68.3
300364,2022/6/1,10.25,10.18
300365,2022/6/1,6.74,6.88
300366,2022/6/1,7.93,7.96
300368,2022/6/1,7.09,7.05
300369,2022/6/1,9.73,9.78
300370,2022/6/1,2.22,2.22
300371,2022/6/1,11.5,11.75
300373,2022/6/1,71.27,69.35
300374,2022/6/1,11.93,11.74
300375,2022/6/1,4,4.09
300376,2022/6/1,7.23,7.3
300377,2022/6/1,8.33,8.32
300378,2022/6/1,15.12,15.56
300379,2022/6/1,16.59,16.78
300380,2022/6/1,13.89,14.08
300381,2022/6/1,9.56,9.79
300382,2022/6/1,12.96,13.23
300383,2022/6/1,9.95,9.87
300384,2022/6/1,16.68,16.8
300385,2022/6/1,6.32,6.36
300386,2022/6/1,10.45,10.52
300387,2022/6/1,7.55,7.46
300388,2022/6/1,6.84,7.04
300389,2022/6/1,9.18,9.4
300390,2022/6/1,59.51,59.37
300391,2022/6/1,11.07,10.9
300392,2022/6/1,3.01,2.95
300393,2022/6/1,15.33,15.22
300394,2022/6/1,26.71,27.34
300395,2022/6/1,53.09,55.77
300396,2022/6/1,14.7,15.14
300397,2022/6/1,10.19,10.31
300398,2022/6/1,21.5,21.35
300399,2022/6/1,10.54,10.72
300400,2022/6/1,14.2,14.17
300401,2022/6/1,13.9,14.11
300402,2022/6/1,18.98,19.05
300403,2022/6/1,4.88,4.89
300404,2022/6/1,11.3,11.38
300405,2022/6/1,5.4,5.46
300406,2022/6/1,16.43,16.67
300407,2022/6/1,7.64,7.7
300408,2022/6/1,29.46,29.73
300409,2022/6/1,22.05,22.01
300410,2022/6/1,7.68,7.81
300411,2022/6/1,7.96,7.95
300412,2022/6/1,12.59,12.51
300413,2022/6/1,35.86,35.05
300414,2022/6/1,8.02,8.1
300415,2022/6/1,13.16,13.18
300416,2022/6/1,29.77,30.04
300417,2022/6/1,9.59,9.59
300418,2022/6/1,14.68,14.83
300419,2022/6/1,5.15,5.19
300420,2022/6/1,2.66,2.68
300421,2022/6/1,9.68,9.7
300422,2022/6/1,5.97,6.08
300423,2022/6/1,9.62,9.9
300424,2022/6/1,11.08,11.17
300425,2022/6/1,5,4.99
300426,2022/6/1,6.91,7.1
300427,2022/6/1,14.72,14.55
300428,2022/6/1,23.3,24.09
300429,2022/6/1,8.83,8.96
300430,2022/6/1,9.45,9.58
300432,2022/6/1,14.8,15.63
300433,2022/6/1,10.5,10.19
300434,2022/6/1,9.05,9.1
300435,2022/6/1,14.51,14.7
300436,2022/6/1,36.6,36.81
300437,2022/6/1,19.16,19.37
300438,2022/6/1,45.8,48.5
300439,2022/6/1,11.8,11.87
300440,2022/6/1,6.22,6.28
300441,2022/6/1,6.21,6.29
300442,2022/6/1,44.34,44.22
300443,2022/6/1,32.6,32.31
300444,2022/6/1,5,5.13
300445,2022/6/1,10.48,10.7
300446,2022/6/1,12.72,12.5
300447,2022/6/1,17.69,18
300448,2022/6/1,5.11,5.25
300449,2022/6/1,4.83,4.9
300450,2022/6/1,48.55,48.8
300451,2022/6/1,7.09,7.05
300452,2022/6/1,12.46,12.37
300453,2022/6/1,9.46,9.52
300454,2022/6/1,94.03,95.9
300455,2022/6/1,8.54,8.5
300456,2022/6/1,14.59,14.71
300457,2022/6/1,20.15,20.56
300458,2022/6/1,20.63,20.33
300459,2022/6/1,3.49,3.48
300460,2022/6/1,11.4,11.46
300461,2022/6/1,14.33,14.43
300462,2022/6/1,9.1,9.35
300463,2022/6/1,19.14,19.06
300464,2022/6/1,6.07,6.05
300465,2022/6/1,8.14,8.19
300466,2022/6/1,4.78,4.94
300467,2022/6/1,11.31,11.49
300468,2022/6/1,9.7,9.71
300469,2022/6/1,13.96,13.96
300470,2022/6/1,36.53,36.68
300471,2022/6/1,14.98,15.31
300472,2022/6/1,9.12,9.28
300473,2022/6/1,16.43,16.79
300474,2022/6/1,86.8,87.5
300475,2022/6/1,18.99,18.91
300476,2022/6/1,17.12,17.01
300477,2022/6/1,6.53,6.66
300478,2022/6/1,10.7,10.8
300479,2022/6/1,16.64,16.74
300480,2022/6/1,16.48,17.18
300481,2022/6/1,21.59,21.98
300482,2022/6/1,38.93,39
300483,2022/6/1,13.6,14
300484,2022/6/1,11.61,11.76
300485,2022/6/1,11.59,11.68
300486,2022/6/1,8.05,8.05
300487,2022/6/1,50.02,51.08
300488,2022/6/1,23.21,23.65
300489,2022/6/1,16.14,16.02
300490,2022/6/1,11.96,12.27
300491,2022/6/1,13.95,14.39
300492,2022/6/1,37.02,37.36
300493,2022/6/1,6.35,6.42
300494,2022/6/1,14.09,14.15
300495,2022/6/1,3.1,2.87
300496,2022/6/1,109.68,113.66
300497,2022/6/1,13.32,13.14
300498,2022/6/1,18.05,18.01
300499,2022/6/1,10.23,10.72
300500,2022/6/1,18.32,18.07
300501,2022/6/1,14.23,14.3
300502,2022/6/1,25.59,25.77
300503,2022/6/1,8.83,8.93
300504,2022/6/1,16.7,16.86
300505,2022/6/1,24.6,24.92
300506,2022/6/1,5.3,5.47
300507,2022/6/1,6.28,6.53
300508,2022/6/1,20.27,20.54
300509,2022/6/1,5.75,5.77
300510,2022/6/1,4.32,4.47
300511,2022/6/1,6.4,6.41
300512,2022/6/1,12.12,12.31
300513,2022/6/1,9.56,9.63
300514,2022/6/1,9.76,9.88
300515,2022/6/1,9.6,9.69
300516,2022/6/1,27.4,29.5
300517,2022/6/1,13.2,13.11
300518,2022/6/1,56.3,56.39
300519,2022/6/1,16.01,16.05
300520,2022/6/1,15.12,15.28
300521,2022/6/1,10.86,11.07
300522,2022/6/1,11.27,11.15
300523,2022/6/1,23.3,23.1
300525,2022/6/1,19.25,19.18
300526,2022/6/1,8.22,7.9
300527,2022/6/1,7.65,7.81
300528,2022/6/1,6.77,6.88
300529,2022/6/1,44.05,45.47
300530,2022/6/1,31.6,31.3
300531,2022/6/1,14.12,13.96
300532,2022/6/1,12.9,12.75
300533,2022/6/1,25.92,25.36
300534,2022/6/1,8.88,8.78
300535,2022/6/1,13.16,13.36
300536,2022/6/1,16.03,16.77
300537,2022/6/1,11.52,11
300538,2022/6/1,12.2,12.36
300539,2022/6/1,7.36,7.38
300540,2022/6/1,20.94,21.6
300541,2022/6/1,11.84,11.82
300542,2022/6/1,10.29,10.55
300543,2022/6/1,9.21,9.29
300545,2022/6/1,15.25,15.49
300546,2022/6/1,23.39,23.2
300547,2022/6/1,13.5,13.68
300548,2022/6/1,15.57,15.98
300549,2022/6/1,12.92,12.92
300550,2022/6/1,13.75,14.86
300551,2022/6/1,7.93,8.13
300552,2022/6/1,17.73,18.24
300553,2022/6/1,30.3,30.31
300554,2022/6/1,13.82,14.06
300555,2022/6/1,7.6,7.71
300556,2022/6/1,19.62,19.48
300557,2022/6/1,26.61,26.53
300558,2022/6/1,47.18,46.05
300559,2022/6/1,9.54,9.51
300560,2022/6/1,13.61,13.69
300561,2022/6/1,10.38,10.35
300562,2022/6/1,9.24,9.26
300563,2022/6/1,11.4,11.47
300564,2022/6/1,23.39,23.26
300565,2022/6/1,8.53,8.46
300566,2022/6/1,16.61,16.71
300567,2022/6/1,39.6,40.19
300568,2022/6/1,23.99,24.32
300569,2022/6/1,9.35,9.27
300570,2022/6/1,13.1,13.37
300571,2022/6/1,39.4,39.12
300572,2022/6/1,13.58,13.84
300573,2022/6/1,142.44,136.06
300575,2022/6/1,18.35,17.76
300576,2022/6/1,26.58,26.12
300577,2022/6/1,15.94,15.67
300578,2022/6/1,16.03,16
300579,2022/6/1,23.65,24.12
300580,2022/6/1,17,18.6
300581,2022/6/1,20.12,20.41
300582,2022/6/1,13.36,13.56
300583,2022/6/1,21.29,21.3
300584,2022/6/1,31.52,30.81
300585,2022/6/1,13.3,13.47
300586,2022/6/1,12.16,12.74
300587,2022/6/1,14.9,15.01
300588,2022/6/1,10.69,11.07
300589,2022/6/1,18.96,19.4
300590,2022/6/1,17.04,17.15
300591,2022/6/1,6.03,5.94
300592,2022/6/1,15.43,15.22
300593,2022/6/1,52.3,53.57
300594,2022/6/1,16,16.2
300595,2022/6/1,45.5,45.8
300596,2022/6/1,46.2,45.83
300597,2022/6/1,8.04,8.05
300598,2022/6/1,43.39,43.7
300599,2022/6/1,9.01,8.95
300600,2022/6/1,9.5,9.91
300601,2022/6/1,62.69,61.86
300602,2022/6/1,10.9,11.19
300603,2022/6/1,10.64,10.62
300604,2022/6/1,40.23,40.9
300605,2022/6/1,12.5,12.52
300606,2022/6/1,11.22,11.21
300607,2022/6/1,10.57,10.84
300608,2022/6/1,8.75,8.78
300609,2022/6/1,16.55,16.16
300610,2022/6/1,14.17,15.79
300611,2022/6/1,9.23,9.28
300612,2022/6/1,17.38,17.15
300613,2022/6/1,62.54,62.46
300614,2022/6/1,26.65,26.77
300615,2022/6/1,10.41,10.8
300616,2022/6/1,25.71,25.97
300617,2022/6/1,39.1,39.88
300618,2022/6/1,53.99,54.16
300619,2022/6/1,73.47,75.93
300620,2022/6/1,26.85,27.06
300621,2022/6/1,9.18,9.24
300622,2022/6/1,23.1,23.19
300623,2022/6/1,20.53,20.67
300624,2022/6/1,29.46,29.51
300625,2022/6/1,12.11,12.27
300626,2022/6/1,8.44,8.69
300627,2022/6/1,35.68,35.7
300628,2022/6/1,74.06,75.98
300629,2022/6/1,19.76,19.69
300630,2022/6/1,27.76,27.09
300631,2022/6/1,27.97,27.73
300632,2022/6/1,10.12,10.19
300633,2022/6/1,25.95,26.01
300634,2022/6/1,11.98,12.09
300635,2022/6/1,19,19.04
300636,2022/6/1,26.59,25.46
300637,2022/6/1,7.03,7.19
300638,2022/6/1,23.1,23.73
300639,2022/6/1,20.48,20.83
300640,2022/6/1,5.58,5.64
300641,2022/6/1,5.3,5.37
300642,2022/6/1,21.51,21.54
300643,2022/6/1,12.7,12.79
300644,2022/6/1,14.63,14.87
300645,2022/6/1,20.12,20.29
300647,2022/6/1,9.63,9.63
300648,2022/6/1,30.7,31.4
300649,2022/6/1,25.53,25.13
300650,2022/6/1,10.08,10.18
300651,2022/6/1,41.23,37.23
300652,2022/6/1,18.8,19.1
300653,2022/6/1,40.53,41.64
300654,2022/6/1,8.59,8.57
300655,2022/6/1,26.2,26.64
300656,2022/6/1,31.31,32.14
300657,2022/6/1,9.44,9.31
300658,2022/6/1,8.74,8.78
300659,2022/6/1,19.48,19.53
300660,2022/6/1,18.52,18.92
300661,2022/6/1,284.51,290.19
300662,2022/6/1,50.89,51.22
300663,2022/6/1,14.36,14.57
300664,2022/6/1,5.48,5.49
300665,2022/6/1,7.84,7.83
300666,2022/6/1,55,55.13
300667,2022/6/1,14.98,15.2
300668,2022/6/1,18.1,18.54
300669,2022/6/1,13.83,13.85
300670,2022/6/1,7.02,7.13
300671,2022/6/1,60.81,60.5
300672,2022/6/1,71.7,70.8
300673,2022/6/1,16.23,16.3
300674,2022/6/1,15.29,15.78
300675,2022/6/1,16.5,16.85
300676,2022/6/1,65.52,65.45
300677,2022/6/1,27.6,27.22
300678,2022/6/1,16.71,16.99
300679,2022/6/1,38.97,38.96
300680,2022/6/1,21.95,22.88
300681,2022/6/1,80.3,82.08
300682,2022/6/1,25.32,25.86
300683,2022/6/1,33.2,33.39
300684,2022/6/1,12.64,12.58
300685,2022/6/1,28.3,29.52
300686,2022/6/1,11.16,11.3
300687,2022/6/1,24.03,23.61
300688,2022/6/1,18.29,18.34
300689,2022/6/1,16.35,16.41
300690,2022/6/1,15.79,15.88
300691,2022/6/1,14.26,13.85
300692,2022/6/1,7.16,7.14
300693,2022/6/1,23.81,25.07
300694,2022/6/1,10.45,10.44
300695,2022/6/1,49.95,51.09
300696,2022/6/1,40.53,40.26
300697,2022/6/1,9.9,9.8
300698,2022/6/1,15,15.22
300699,2022/6/1,55.32,56.14
300700,2022/6/1,21.88,22.65
300701,2022/6/1,8.89,9.07
300702,2022/6/1,38,37.19
300703,2022/6/1,8.63,8.64
300705,2022/6/1,16.57,17.3
300706,2022/6/1,19.95,20.12
300707,2022/6/1,12.89,13.11
300708,2022/6/1,11.36,11.35
300709,2022/6/1,40.54,39.5
300710,2022/6/1,39.53,42.16
300711,2022/6/1,11.63,11.42
300712,2022/6/1,40.62,42.08
300713,2022/6/1,13.03,13.55
300715,2022/6/1,11.48,11.68
300716,2022/6/1,9.29,9.45
300717,2022/6/1,13.06,13.18
300718,2022/6/1,13.1,12.94
300719,2022/6/1,9.95,10.04
300720,2022/6/1,10.55,10.59
300721,2022/6/1,33.42,34.24
300722,2022/6/1,29.1,29.17
300723,2022/6/1,28.28,27.82
300724,2022/6/1,70,71.23
300725,2022/6/1,82,82.89
300726,2022/6/1,56,57.45
300727,2022/6/1,22.67,23.05
300729,2022/6/1,17.38,17.22
300730,2022/6/1,14.95,15.14
300731,2022/6/1,16.75,17.93
300732,2022/6/1,13.26,13.12
300733,2022/6/1,20.87,21.08
300735,2022/6/1,9.78,9.95
300736,2022/6/1,9.47,9.91
300737,2022/6/1,9.77,10.29
300738,2022/6/1,18.44,18.9
300739,2022/6/1,14.58,14.79
300740,2022/6/1,12.35,12.4
300741,2022/6/1,25.5,25.25
300742,2022/6/1,29,29.5
300743,2022/6/1,10.76,10.88
300745,2022/6/1,43.3,44.54
300746,2022/6/1,11.63,11.66
300747,2022/6/1,32.3,31.78
300748,2022/6/1,29.8,30.11
300749,2022/6/1,7.07,7.12
300750,2022/6/1,410.1,425.03
300751,2022/6/1,373.11,377.43
300752,2022/6/1,21.44,21.24
300753,2022/6/1,13.67,13.83
300755,2022/6/1,37,36.81
300756,2022/6/1,19.16,19.55
300757,2022/6/1,34.33,35.37
300758,2022/6/1,9.64,9.79
300759,2022/6/1,119.48,119.21
300760,2022/6/1,300.5,303.53
300761,2022/6/1,34.88,35.4
300762,2022/6/1,17.2,17.46
300763,2022/6/1,166.42,159.87
300765,2022/6/1,13.3,13.45
300766,2022/6/1,11.38,11.32
300767,2022/6/1,59.6,60.2
300768,2022/6/1,14.59,14.96
300769,2022/6/1,292.94,294.25
300770,2022/6/1,37.18,37.98
300771,2022/6/1,19.32,19.71
300772,2022/6/1,20.51,20.26
300773,2022/6/1,18.25,18.24
300774,2022/6/1,19.98,19.88
300775,2022/6/1,39.63,39.72
300776,2022/6/1,235,225.94
300777,2022/6/1,45.24,44.55
300778,2022/6/1,19.12,19.64
300779,2022/6/1,13.43,13.44
300780,2022/6/1,14.57,14.73
300781,2022/6/1,18.01,18.34
300782,2022/6/1,193.41,195
300783,2022/6/1,22.15,22.08
300785,2022/6/1,27.9,28.35
300786,2022/6/1,13.74,14.2
300787,2022/6/1,25.86,26.01
300788,2022/6/1,20.83,20.82
300789,2022/6/1,19.65,19.72
300790,2022/6/1,17.64,17.61
300791,2022/6/1,24.98,24.83
300792,2022/6/1,32.38,33.87
300793,2022/6/1,15.41,15.42
300795,2022/6/1,20.1,21.33
300796,2022/6/1,19.69,20.05
300797,2022/6/1,13.48,13.89
300798,2022/6/1,7.15,7.16
300799,2022/6/1,54.75,55.44
300800,2022/6/1,15.86,15.82
300801,2022/6/1,22.05,22.39
300802,2022/6/1,26,26.58
300803,2022/6/1,41.81,41.03
300805,2022/6/1,7.7,7.86
300806,2022/6/1,37.04,39.2
300807,2022/6/1,20.12,20.66
300808,2022/6/1,11.55,11.69
300809,2022/6/1,32.88,33.61
300810,2022/6/1,18.37,18.83
300811,2022/6/1,83.85,83.48
300812,2022/6/1,15,15.29
300813,2022/6/1,39.72,42.1
300814,2022/6/1,16.49,16.84
300815,2022/6/1,21.73,21.85
300816,2022/6/1,27.64,28.89
300817,2022/6/1,16.09,16.29
300818,2022/6/1,34.01,34.82
300819,2022/6/1,21.39,21.54
300820,2022/6/1,56.5,56.05
300821,2022/6/1,15.05,15.04
300822,2022/6/1,15.24,15.93
300823,2022/6/1,18.8,19
300824,2022/6/1,10.97,10.97
300825,2022/6/1,14.4,15.06
300826,2022/6/1,16.67,16.6
300827,2022/6/1,35.5,37.28
300828,2022/6/1,14.47,14.68
300829,2022/6/1,28.88,28.48
300830,2022/6/1,7.4,7.49
300831,2022/6/1,12.87,13.7
300832,2022/6/1,40.23,41.84
300833,2022/6/1,80.49,83.24
300834,2022/6/1,27.95,28.37
300835,2022/6/1,26.5,26.57
300836,2022/6/1,28.63,29.26
300837,2022/6/1,38.7,39.95
300838,2022/6/1,14.72,14.81
300839,2022/6/1,13.69,13.57
300840,2022/6/1,9.23,9.16
300841,2022/6/1,103,96.29
300842,2022/6/1,41.55,41.41
300843,2022/6/1,20.99,22.57
300844,2022/6/1,45.27,45.09
300845,2022/6/1,12.9,13.05
300846,2022/6/1,12.14,12.3
300847,2022/6/1,12.8,13.23
300848,2022/6/1,18,18.07
300849,2022/6/1,11.32,11.26
300850,2022/6/1,83.76,84.02
300851,2022/6/1,22.37,22.42
300852,2022/6/1,32.8,32.61
300853,2022/6/1,25.88,26.7
300854,2022/6/1,21.31,21.41
300855,2022/6/1,57.88,57.8
300856,2022/6/1,50.38,51.4
300857,2022/6/1,19.8,20.25
300858,2022/6/1,23.66,24.53
300859,2022/6/1,24.12,24.71
300860,2022/6/1,43.06,44.6
300861,2022/6/1,80.89,81.05
300862,2022/6/1,25.84,25.99
300863,2022/6/1,70,70.83
300864,2022/6/1,34.8,36.4
300865,2022/6/1,21.32,21.9
300866,2022/6/1,62.3,62.01
300867,2022/6/1,20.9,21.53
300868,2022/6/1,17.58,17.73
300869,2022/6/1,26.39,26.43
300870,2022/6/1,42.15,42.97
300871,2022/6/1,22.39,21.89
300872,2022/6/1,13.06,13.08
300873,2022/6/1,25.37,25.18
300875,2022/6/1,35.24,35.7
300876,2022/6/1,22.81,22.9
300877,2022/6/1,15.99,16.16
300878,2022/6/1,41.12,41.4
300879,2022/6/1,22.22,22.44
300880,2022/6/1,16.89,17.2
300881,2022/6/1,22.36,22.88
300882,2022/6/1,13.03,13.64
300883,2022/6/1,6.6,6.73
300884,2022/6/1,9.86,9.97
300885,2022/6/1,10.04,10.19
300886,2022/6/1,29.99,29.45
300887,2022/6/1,67.11,66.35
300888,2022/6/1,59.33,59.24
300889,2022/6/1,13.65,13.75
300890,2022/6/1,42.43,43.28
300891,2022/6/1,10.96,11.03
300892,2022/6/1,27.77,27.77
300893,2022/6/1,16.7,17.29
300894,2022/6/1,29.88,31.5
300895,2022/6/1,28.05,28.37
300896,2022/6/1,540.55,529
300897,2022/6/1,28.74,28.47
300898,2022/6/1,20.37,20.66
300899,2022/6/1,22.2,22.26
300900,2022/6/1,24.17,24.7
300901,2022/6/1,9.23,9.14
300902,2022/6/1,40.58,39.58
300903,2022/6/1,24,24
300905,2022/6/1,18.06,17.69
300906,2022/6/1,24.37,24.71
300907,2022/6/1,19.63,20.27
300908,2022/6/1,34.31,34.49
300909,2022/6/1,39.5,38.73
300910,2022/6/1,43.18,43.56
300911,2022/6/1,58.36,62.9
300912,2022/6/1,15.43,15.97
300913,2022/6/1,23.03,23.37
300915,2022/6/1,38.79,39.38
300916,2022/6/1,43.29,44.01
300917,2022/6/1,35.6,37.27
300918,2022/6/1,8.15,8.24
300919,2022/6/1,104.5,105.58
300920,2022/6/1,21,22.48
300921,2022/6/1,18.56,18.85
300922,2022/6/1,17.51,17.92
300923,2022/6/1,22.99,23.2
300925,2022/6/1,19.2,19.6
300926,2022/6/1,20.21,20.55
300927,2022/6/1,30.11,30.4
300928,2022/6/1,43.52,46.46
300929,2022/6/1,13.09,13.04
300930,2022/6/1,24.1,24.51
300931,2022/6/1,7.68,7.76
300932,2022/6/1,23.1,24.1
300933,2022/6/1,7.91,7.82
300935,2022/6/1,29.32,29.86
300936,2022/6/1,28.99,28.2
300937,2022/6/1,29.18,29.6
300938,2022/6/1,46.19,47.09
300939,2022/6/1,27.98,27.83
300940,2022/6/1,25.29,26.1
300941,2022/6/1,29.79,29.88
300942,2022/6/1,21.99,21.88
300943,2022/6/1,14.55,14.96
300945,2022/6/1,14.49,14.61
300946,2022/6/1,33.89,33.99
300947,2022/6/1,31.92,31.98
300948,2022/6/1,15.87,15.96
300949,2022/6/1,41.88,41.08
300950,2022/6/1,23.71,23.89
300951,2022/6/1,43.69,43.95
300952,2022/6/1,16.87,16.84
300953,2022/6/1,109.01,110.7
300955,2022/6/1,22.38,22.56
300956,2022/6/1,16.99,16.95
300957,2022/6/1,189.37,193.19
300958,2022/6/1,21.57,21.37
300959,2022/6/1,31.09,31.76
300960,2022/6/1,18.2,18.77
300961,2022/6/1,12.57,12.66
300962,2022/6/1,14.98,14.76
300963,2022/6/1,17.5,18
300964,2022/6/1,28.32,29.03
300965,2022/6/1,47,47.33
300966,2022/6/1,29.2,29.99
300967,2022/6/1,18.2,17.9
300968,2022/6/1,8.97,8.8
300969,2022/6/1,66,64.75
300970,2022/6/1,19.51,19.42
300971,2022/6/1,23.75,23.84
300972,2022/6/1,14.1,13.95
300973,2022/6/1,82.94,81.32
300975,2022/6/1,8.08,8.3
300976,2022/6/1,48.99,48.49
300977,2022/6/1,22.7,22.44
300978,2022/6/1,12.51,13.06
300979,2022/6/1,75.93,75.09
300980,2022/6/1,28.22,28.36
300981,2022/6/1,25.25,25.67
300982,2022/6/1,47.1,47.65
300983,2022/6/1,57.45,58.2
300984,2022/6/1,27.03,27.47
300985,2022/6/1,28.03,28.8
300986,2022/6/1,36.17,35.22
300987,2022/6/1,15.91,17.03
300988,2022/6/1,19.42,19.45
300989,2022/6/1,21.51,21.22
300990,2022/6/1,49.29,53.9
300991,2022/6/1,14.19,14.14
300992,2022/6/1,20.54,20.29
300993,2022/6/1,21.55,22.12
300994,2022/6/1,30.29,29.82
300995,2022/6/1,19.54,19.9
300996,2022/6/1,22.75,22.58
300997,2022/6/1,12.55,12.48
300998,2022/6/1,25.8,26.43
300999,2022/6/1,45.5,45.15
301000,2022/6/1,53.02,53.62
301001,2022/6/1,28.3,28.43
301002,2022/6/1,29.47,29.7
301003,2022/6/1,27.8,28
301004,2022/6/1,20.65,20.72
301005,2022/6/1,38.18,39.95
301006,2022/6/1,17.91,18.33
301007,2022/6/1,15.2,15.52
301008,2022/6/1,25.47,26.24
301009,2022/6/1,12.63,12.69
301010,2022/6/1,22.48,23.15
301011,2022/6/1,30.7,31.28
301012,2022/6/1,42.91,42.92
301013,2022/6/1,19.7,19.74
301015,2022/6/1,20.66,20.67
301016,2022/6/1,18.39,18.93
301017,2022/6/1,17.46,17.45
301018,2022/6/1,22.21,22.85
301019,2022/6/1,22.12,22.62
301020,2022/6/1,21.98,21.89
301021,2022/6/1,24.77,25.3
301022,2022/6/1,32.22,32.71
301023,2022/6/1,38.63,40.61
301024,2022/6/1,39.1,39.68
301025,2022/6/1,13.73,13.68
301026,2022/6/1,35.5,35.67
301027,2022/6/1,26.93,27.22
301028,2022/6/1,10.74,10.7
301029,2022/6/1,76,76.09
301030,2022/6/1,24.81,24.34
301031,2022/6/1,117.3,118
301032,2022/6/1,9.4,9.41
301033,2022/6/1,34.66,35.11
301035,2022/6/1,74.18,72.98
301036,2022/6/1,21.04,21.4
301037,2022/6/1,20,20.34
301038,2022/6/1,25.8,26.37
301039,2022/6/1,10.78,11.38
301040,2022/6/1,28.61,28.3
301041,2022/6/1,18.69,19.07
301042,2022/6/1,31.98,32.8
301043,2022/6/1,24.89,25.52
301045,2022/6/1,21.73,21.68
301046,2022/6/1,37,39.6
301047,2022/6/1,121.03,122.61
301048,2022/6/1,12.03,11.85
301049,2022/6/1,21.85,22.61
301050,2022/6/1,91.3,94.52
301051,2022/6/1,60.74,62.8
301052,2022/6/1,34.96,34.88
301053,2022/6/1,22.7,22.95
301055,2022/6/1,16.78,17.09
301056,2022/6/1,8.63,8.66
301057,2022/6/1,22.83,22.3
301058,2022/6/1,19.35,18.7
301059,2022/6/1,15.72,16
301060,2022/6/1,34.51,34.46
301061,2022/6/1,49.72,50.96
301062,2022/6/1,11.37,11.51
301063,2022/6/1,26.21,26.93
301065,2022/6/1,38.62,39.58
301066,2022/6/1,18.47,18.27
301067,2022/6/1,37.59,38.2
301068,2022/6/1,23.3,23.62
301069,2022/6/1,37.25,37.7
301070,2022/6/1,25.4,25.9
301071,2022/6/1,139.65,139.82
301072,2022/6/1,34.4,34.51
301073,2022/6/1,77.45,75.76
301075,2022/6/1,26.1,26.4
301076,2022/6/1,23.4,23.65
301077,2022/6/1,24.09,24.28
301078,2022/6/1,14.74,14.47
301079,2022/6/1,23.34,23.73
301080,2022/6/1,139.44,141.03
301081,2022/6/1,14.84,15.09
301082,2022/6/1,18.11,18.38
301083,2022/6/1,12.88,12.93
301085,2022/6/1,32.21,31.97
301086,2022/6/1,55.19,56.22
301087,2022/6/1,35.4,36.28
301088,2022/6/1,17.84,17.97
301089,2022/6/1,122.72,122.5
301090,2022/6/1,10.89,10.78
301091,2022/6/1,27.7,27.6
301092,2022/6/1,24.56,24.78
301093,2022/6/1,33.52,33.97
301096,2022/6/1,62.3,61.34
301097,2022/6/1,49.86,50.19
301098,2022/6/1,25.32,25.12
301099,2022/6/1,59.4,59.58
301100,2022/6/1,21.27,21.64
301101,2022/6/1,49,48.89
301102,2022/6/1,30.06,31.95
301103,2022/6/1,32.88,31.97
301106,2022/6/1,31.65,31.63
301107,2022/6/1,42.54,43.62
301108,2022/6/1,37.75,38.25
301109,2022/6/1,26.05,26.63
301110,2022/6/1,43.88,44.09
301111,2022/6/1,25.11,24.8
301113,2022/6/1,41,40.9
301116,2022/6/1,21.17,20.81
301117,2022/6/1,52.17,52.44
301118,2022/6/1,40.97,41.3
301119,2022/6/1,30.51,31.11
301120,2022/6/1,16.28,16.8
301122,2022/6/1,64.91,64.61
301123,2022/6/1,24.57,24.8
301126,2022/6/1,16.88,16.76
301127,2022/6/1,11.15,11.2
301128,2022/6/1,28.6,28.54
301129,2022/6/1,62.86,63.03
301130,2022/6/1,42.68,42.6
301131,2022/6/1,39.5,40.61
301133,2022/6/1,25.26,25.57
301135,2022/6/1,24.2,25.1
301136,2022/6/1,22.03,21.7
301137,2022/6/1,19.77,20.25
301138,2022/6/1,29.2,29.85
301148,2022/6/1,26.21,26.54
301149,2022/6/1,13.16,12.92
301150,2022/6/1,103.89,105.8
301151,2022/6/1,22.99,22.7
301153,2022/6/1,48.83,48.26
301155,2022/6/1,64.96,66.82
301158,2022/6/1,22.5,22.42
301159,2022/6/1,30.29,30.35
301162,2022/6/1,55.56,52.81
301163,2022/6/1,38.79,38.85
301166,2022/6/1,67.19,64.15
301167,2022/6/1,33.38,33.53
301168,2022/6/1,33.33,34.17
301169,2022/6/1,37.82,37.77
301177,2022/6/1,69.4,68.62
301178,2022/6/1,45.4,45.73
301179,2022/6/1,37.23,37.95
301180,2022/6/1,18.53,18.82
301181,2022/6/1,30.51,30.95
301182,2022/6/1,23.19,23.72
301183,2022/6/1,36.2,37.01
301185,2022/6/1,19.69,19.77
301186,2022/6/1,31.78,31.35
301187,2022/6/1,23.92,24.9
301188,2022/6/1,16.65,16.73
301189,2022/6/1,31,31.96
301190,2022/6/1,22.8,22.55
301191,2022/6/1,80,78.54
301193,2022/6/1,26.93,26.74
301196,2022/6/1,35.79,36.24
301198,2022/6/1,23.85,24.08
